"year","zone","rooms","measure","value"
"2012","S01001791","7.0","Count",42
"2008","S01001791","7.0","Count",38
"2013","S01001791","8.0","Count",25
"2011","S01001791","8.0","Count",25
"2008","S01001791","8.0","Count",25
"2012","S01001791","8.0","Count",25
"2006","S01001791","8.0","Count",25
"2009","S01001791","8.0","Count",25
"2007","S01001791","8.0","Count",25
"2010","S01001791","8.0","Count",25
"2011","S01001791","9.0","Count",3
"2006","S01001791","9.0","Count",2
"2010","S01001791","9.0","Count",3
"2009","S01001791","9.0","Count",3
"2007","S01001791","9.0","Count",2
"2008","S01001791","9.0","Count",3
"2013","S01001791","9.0","Count",4
"2012","S01001791","9.0","Count",4
"2006","S01001791","Unknown","Count",0
"2007","S01001791","Unknown","Count",0
"2008","S01001791","Unknown","Count",0
"2009","S01001791","Unknown","Count",0
"2010","S01001791","Unknown","Count",0
"2011","S01001791","Unknown","Count",0
"2012","S01001791","Unknown","Count",0
"2013","S01001791","Unknown","Count",0
"2008","S01001791","1.0","Count",0
"2006","S01001791","1.0","Count",0
"2007","S01001791","1.0","Count",0
"2012","S01001791","1.0","Count",0
"2013","S01001791","1.0","Count",0
"2010","S01001791","1.0","Count",0
"2009","S01001791","1.0","Count",0
"2011","S01001791","1.0","Count",0
"2012","S01001791","2.0","Count",2
"2006","S01001791","2.0","Count",2
"2009","S01001791","2.0","Count",6
"2011","S01001791","2.0","Count",2
"2008","S01001791","2.0","Count",2
"2013","S01001791","2.0","Count",2
"2007","S01001791","2.0","Count",2
"2010","S01001791","2.0","Count",2
"2012","S01001791","3.0","Count",89
"2013","S01001791","3.0","Count",89
"2010","S01001791","3.0","Count",93
"2007","S01001791","3.0","Count",93
"2008","S01001791","3.0","Count",93
"2011","S01001791","3.0","Count",93
"2006","S01001791","3.0","Count",93
"2009","S01001791","3.0","Count",93
"2011","S01001791","4.0","Count",20
"2006","S01001791","4.0","Count",20
"2013","S01001791","4.0","Count",22
"2012","S01001791","4.0","Count",22
"2010","S01001791","4.0","Count",20
"2009","S01001791","4.0","Count",22
"2007","S01001791","4.0","Count",20
"2008","S01001791","4.0","Count",20
"2011","S01001791","10+","Ratio","0.98"
"2012","S01001791","10+","Ratio","0.98"
"2008","S01001791","10+","Ratio","1.31"
"2009","S01001791","10+","Ratio","1.29"
"2007","S01001791","10+","Ratio","1.31"
"2010","S01001791","10+","Ratio","0.98"
"2013","S01001791","10+","Ratio","0.98"
"2006","S01001791","10+","Ratio","1.32"
"2009","S01001791","1-3","Ratio","31.83"
"2013","S01001791","1-3","Ratio","29.64"
"2012","S01001791","1-3","Ratio","29.64"
"2007","S01001791","1-3","Ratio","31.15"
"2006","S01001791","1-3","Ratio","31.35"
"2011","S01001791","1-3","Ratio","30.94"
"2010","S01001791","1-3","Ratio","31.15"
"2008","S01001791","1-3","Ratio","31.05"
"2007","S01001791","4-6","Ratio","46.23"
"2010","S01001791","4-6","Ratio","45.25"
"2008","S01001791","4-6","Ratio","46.08"
"2011","S01001791","4-6","Ratio","45.28"
"2006","S01001791","4-6","Ratio","46.2"
"2012","S01001791","4-6","Ratio","46.25"
"2009","S01001791","4-6","Ratio","45.66"
"2013","S01001791","4-6","Ratio","46.25"
"2008","S01001791","7-9","Ratio","21.57"
"2007","S01001791","7-9","Ratio","21.31"
"2009","S01001791","7-9","Ratio","21.22"
"2013","S01001791","7-9","Ratio","23.13"
"2010","S01001791","7-9","Ratio","22.62"
"2011","S01001791","7-9","Ratio","22.8"
"2006","S01001791","7-9","Ratio","21.12"
"2012","S01001791","7-9","Ratio","23.13"
"2006","S01001791","Unknown","Ratio",0
"2010","S01001791","Unknown","Ratio",0
"2012","S01001791","Unknown","Ratio",0
"2007","S01001791","Unknown","Ratio",0
"2008","S01001791","Unknown","Ratio",0
"2011","S01001791","Unknown","Ratio",0
"2009","S01001791","Unknown","Ratio",0
"2013","S01001791","Unknown","Ratio",0
"2007","S01001792","Median","Count",4
"2008","S01001792","5.0","Count",102
"2013","S01001792","5.0","Count",103
"2006","S01001792","5.0","Count",102
"2011","S01001792","5.0","Count",102
"2009","S01001792","5.0","Count",102
"2012","S01001792","5.0","Count",103
"2010","S01001792","5.0","Count",102
"2007","S01001792","5.0","Count",102
"2010","S01001792","6.0","Count",22
"2013","S01001792","6.0","Count",23
"2006","S01001792","6.0","Count",22
"2009","S01001792","6.0","Count",22
"2008","S01001792","6.0","Count",22
"2011","S01001792","6.0","Count",22
"2007","S01001792","6.0","Count",22
"2012","S01001792","6.0","Count",23
"2009","S01001792","7.0","Count",20
"2007","S01001792","7.0","Count",20
"2010","S01001792","7.0","Count",20
"2011","S01001792","7.0","Count",20
"2006","S01001792","7.0","Count",19
"2013","S01001792","7.0","Count",20
"2012","S01001792","7.0","Count",20
"2008","S01001792","7.0","Count",20
"2013","S01001792","8.0","Count",1
"2011","S01001792","8.0","Count",1
"2008","S01001792","8.0","Count",1
"2012","S01001792","8.0","Count",1
"2006","S01001792","8.0","Count",2
"2009","S01001792","8.0","Count",1
"2007","S01001792","8.0","Count",1
"2010","S01001792","8.0","Count",1
"2011","S01001792","9.0","Count",0
"2006","S01001792","9.0","Count",0
"2010","S01001792","9.0","Count",0
"2009","S01001792","9.0","Count",0
"2007","S01001792","9.0","Count",0
"2008","S01001792","9.0","Count",0
"2013","S01001792","9.0","Count",0
"2012","S01001792","9.0","Count",0
"2006","S01001792","Unknown","Count",0
"2007","S01001792","Unknown","Count",0
"2008","S01001792","Unknown","Count",0
"2009","S01001792","Unknown","Count",0
"2010","S01001792","Unknown","Count",0
"2011","S01001792","Unknown","Count",0
"2012","S01001792","Unknown","Count",0
"2013","S01001792","Unknown","Count",0
"2008","S01001792","1.0","Count",0
"2006","S01001792","1.0","Count",0
"2007","S01001792","1.0","Count",0
"2012","S01001792","1.0","Count",0
"2013","S01001792","1.0","Count",0
"2010","S01001792","1.0","Count",0
"2009","S01001792","1.0","Count",0
"2011","S01001792","1.0","Count",0
"2012","S01001792","2.0","Count",8
"2006","S01001792","2.0","Count",8
"2009","S01001792","2.0","Count",8
"2011","S01001792","2.0","Count",8
"2008","S01001792","2.0","Count",8
"2013","S01001792","2.0","Count",8
"2007","S01001792","2.0","Count",8
"2010","S01001792","2.0","Count",8
"2012","S01001792","3.0","Count",65
"2013","S01001792","3.0","Count",65
"2010","S01001792","3.0","Count",67
"2007","S01001792","3.0","Count",67
"2008","S01001792","3.0","Count",67
"2011","S01001792","3.0","Count",67
"2006","S01001792","3.0","Count",67
"2009","S01001792","3.0","Count",67
"2011","S01001792","4.0","Count",71
"2006","S01001792","4.0","Count",71
"2013","S01001792","4.0","Count",71
"2012","S01001792","4.0","Count",71
"2010","S01001792","4.0","Count",71
"2009","S01001792","4.0","Count",71
"2007","S01001792","4.0","Count",71
"2008","S01001792","4.0","Count",71
"2011","S01001792","10+","Ratio",0
"2012","S01001792","10+","Ratio",0
"2008","S01001792","10+","Ratio",0
"2009","S01001792","10+","Ratio",0
"2007","S01001792","10+","Ratio",0
