"year","zone","rooms","measure","value"
"2012","S01001921","7-9","Ratio",0
"2006","S01001921","Unknown","Ratio",0
"2010","S01001921","Unknown","Ratio",0
"2012","S01001921","Unknown","Ratio",0
"2007","S01001921","Unknown","Ratio",0
"2008","S01001921","Unknown","Ratio",0
"2011","S01001921","Unknown","Ratio",0
"2009","S01001921","Unknown","Ratio",0
"2013","S01001921","Unknown","Ratio",0
"2007","S01001922","Median","Count",5
"2008","S01001922","5.0","Count",201
"2013","S01001922","5.0","Count",196
"2006","S01001922","5.0","Count",200
"2011","S01001922","5.0","Count",197
"2009","S01001922","5.0","Count",200
"2012","S01001922","5.0","Count",196
"2010","S01001922","5.0","Count",200
"2007","S01001922","5.0","Count",201
"2010","S01001922","6.0","Count",15
"2013","S01001922","6.0","Count",17
"2006","S01001922","6.0","Count",10
"2009","S01001922","6.0","Count",15
"2008","S01001922","6.0","Count",15
"2011","S01001922","6.0","Count",17
"2007","S01001922","6.0","Count",15
"2012","S01001922","6.0","Count",17
"2009","S01001922","7.0","Count",13
"2007","S01001922","7.0","Count",12
"2010","S01001922","7.0","Count",13
"2011","S01001922","7.0","Count",14
"2006","S01001922","7.0","Count",1
"2013","S01001922","7.0","Count",15
"2012","S01001922","7.0","Count",15
"2008","S01001922","7.0","Count",12
"2013","S01001922","8.0","Count",6
"2011","S01001922","8.0","Count",6
"2008","S01001922","8.0","Count",6
"2012","S01001922","8.0","Count",6
"2006","S01001922","8.0","Count",2
"2009","S01001922","8.0","Count",6
"2007","S01001922","8.0","Count",6
"2010","S01001922","8.0","Count",6
"2011","S01001922","9.0","Count",0
"2006","S01001922","9.0","Count",0
"2010","S01001922","9.0","Count",0
"2009","S01001922","9.0","Count",0
"2007","S01001922","9.0","Count",0
"2008","S01001922","9.0","Count",0
"2013","S01001922","9.0","Count",0
"2012","S01001922","9.0","Count",0
"2006","S01001922","Unknown","Count",0
"2007","S01001922","Unknown","Count",0
"2008","S01001922","Unknown","Count",0
"2009","S01001922","Unknown","Count",0
"2010","S01001922","Unknown","Count",0
"2011","S01001922","Unknown","Count",0
"2012","S01001922","Unknown","Count",0
"2013","S01001922","Unknown","Count",0
"2008","S01001922","1.0","Count",1
"2006","S01001922","1.0","Count",1
"2007","S01001922","1.0","Count",1
"2012","S01001922","1.0","Count",1
"2013","S01001922","1.0","Count",1
"2010","S01001922","1.0","Count",1
"2009","S01001922","1.0","Count",1
"2011","S01001922","1.0","Count",1
"2012","S01001922","2.0","Count",13
"2006","S01001922","2.0","Count",13
"2009","S01001922","2.0","Count",13
"2011","S01001922","2.0","Count",13
"2008","S01001922","2.0","Count",13
"2013","S01001922","2.0","Count",13
"2007","S01001922","2.0","Count",13
"2010","S01001922","2.0","Count",13
"2012","S01001922","3.0","Count",39
"2013","S01001922","3.0","Count",39
"2010","S01001922","3.0","Count",39
"2007","S01001922","3.0","Count",35
"2008","S01001922","3.0","Count",35
"2011","S01001922","3.0","Count",39
"2006","S01001922","3.0","Count",35
"2009","S01001922","3.0","Count",39
"2011","S01001922","4.0","Count",33
"2006","S01001922","4.0","Count",32
"2013","S01001922","4.0","Count",33
"2012","S01001922","4.0","Count",33
"2010","S01001922","4.0","Count",33
"2009","S01001922","4.0","Count",33
"2007","S01001922","4.0","Count",33
"2008","S01001922","4.0","Count",33
"2011","S01001922","10+","Ratio","0.62"
"2012","S01001922","10+","Ratio","0.62"
"2008","S01001922","10+","Ratio","0.63"
"2009","S01001922","10+","Ratio","0.62"
"2007","S01001922","10+","Ratio","0.63"
"2010","S01001922","10+","Ratio","0.62"
"2013","S01001922","10+","Ratio","0.62"
"2006","S01001922","10+","Ratio","0.68"
"2009","S01001922","1-3","Ratio","16.46"
"2013","S01001922","1-3","Ratio","16.46"
"2012","S01001922","1-3","Ratio","16.46"
"2007","S01001922","1-3","Ratio","15.41"
"2006","S01001922","1-3","Ratio","16.55"
"2011","S01001922","1-3","Ratio","16.46"
"2010","S01001922","1-3","Ratio","16.46"
"2008","S01001922","1-3","Ratio","15.41"
"2007","S01001922","4-6","Ratio","78.3"
"2010","S01001922","4-6","Ratio","77.02"
"2008","S01001922","4-6","Ratio","78.3"
"2011","S01001922","4-6","Ratio","76.71"
"2006","S01001922","4-6","Ratio","81.76"
"2012","S01001922","4-6","Ratio","76.4"
"2009","S01001922","4-6","Ratio","77.02"
"2013","S01001922","4-6","Ratio","76.4"
"2008","S01001922","7-9","Ratio","5.66"
"2007","S01001922","7-9","Ratio","5.66"
"2009","S01001922","7-9","Ratio","5.9"
"2013","S01001922","7-9","Ratio","6.52"
"2010","S01001922","7-9","Ratio","5.9"
"2011","S01001922","7-9","Ratio","6.21"
"2006","S01001922","7-9","Ratio","1.01"
"2012","S01001922","7-9","Ratio","6.52"
"2006","S01001922","Unknown","Ratio",0
"2010","S01001922","Unknown","Ratio",0
"2012","S01001922","Unknown","Ratio",0
"2007","S01001922","Unknown","Ratio",0
"2008","S01001922","Unknown","Ratio",0
"2011","S01001922","Unknown","Ratio",0
"2009","S01001922","Unknown","Ratio",0
"2013","S01001922","Unknown","Ratio",0
"2007","S01001923","Median","Count",4
"2008","S01001923","5.0","Count",60
"2013","S01001923","5.0","Count",58
"2006","S01001923","5.0","Count",81
"2011","S01001923","5.0","Count",58
"2009","S01001923","5.0","Count",59
"2012","S01001923","5.0","Count",58
"2010","S01001923","5.0","Count",59
"2007","S01001923","5.0","Count",81
"2010","S01001923","6.0","Count",17
"2013","S01001923","6.0","Count",18
"2006","S01001923","6.0","Count",16
"2009","S01001923","6.0","Count",17
"2008","S01001923","6.0","Count",16
"2011","S01001923","6.0","Count",18
"2007","S01001923","6.0","Count",16
"2012","S01001923","6.0","Count",18
"2009","S01001923","7.0","Count",0
"2007","S01001923","7.0","Count",0
"2010","S01001923","7.0","Count",0
"2011","S01001923","7.0","Count",0
"2006","S01001923","7.0","Count",0
"2013","S01001923","7.0","Count",0
"2012","S01001923","7.0","Count",0
"2008","S01001923","7.0","Count",0
"2013","S01001923","8.0","Count",0
"2011","S01001923","8.0","Count",0
"2008","S01001923","8.0","Count",0
"2012","S01001923","8.0","Count",0
"2006","S01001923","8.0","Count",0
"2009","S01001923","8.0","Count",0
"2007","S01001923","8.0","Count",0
"2010","S01001923","8.0","Count",0
"2011","S01001923","9.0","Count",0
"2006","S01001923","9.0","Count",0
"2010","S01001923","9.0","Count",0
"2009","S01001923","9.0","Count",0
"2007","S01001923","9.0","Count",0
"2008","S01001923","9.0","Count",0
"2013","S01001923","9.0","Count",0
"2012","S01001923","9.0","Count",0
"2006","S01001923","Unknown","Count",0
"2007","S01001923","Unknown","Count",0
"2008","S01001923","Unknown","Count",0
"2009","S01001923","Unknown","Count",0
"2010","S01001923","Unknown","Count",0
"2011","S01001923","Unknown","Count",0
"2012","S01001923","Unknown","Count",0
"2013","S01001923","Unknown","Count",0
"2008","S01001923","1.0","Count",0
"2006","S01001923","1.0","Count",0
"2007","S01001923","1.0","Count",0
"2012","S01001923","1.0","Count",0
"2013","S01001923","1.0","Count",0
"2010","S01001923","1.0","Count",0
"2009","S01001923","1.0","Count",0
"2011","S01001923","1.0","Count",0
"2012","S01001923","2.0","Count",8
"2006","S01001923","2.0","Count",65
"2009","S01001923","2.0","Count",65
"2011","S01001923","2.0","Count",5
"2008","S01001923","2.0","Count",65
"2013","S01001923","2.0","Count",8
"2007","S01001923","2.0","Count",65
"2010","S01001923","2.0","Count",65
"2012","S01001923","3.0","Count",23
"2013","S01001923","3.0","Count",23
"2010","S01001923","3.0","Count",27
"2007","S01001923","3.0","Count",27
"2008","S01001923","3.0","Count",27
"2011","S01001923","3.0","Count",26
"2006","S01001923","3.0","Count",28
"2009","S01001923","3.0","Count",27
"2011","S01001923","4.0","Count",129
"2006","S01001923","4.0","Count",320
"2013","S01001923","4.0","Count",129
"2012","S01001923","4.0","Count",129
"2010","S01001923","4.0","Count",257
"2009","S01001923","4.0","Count",257
"2007","S01001923","4.0","Count",320
"2008","S01001923","4.0","Count",257
"2011","S01001923","10+","Ratio",0
"2012","S01001923","10+","Ratio",0
"2008","S01001923","10+","Ratio",0
"2009","S01001923","10+","Ratio",0
"2007","S01001923","10+","Ratio",0
"2010","S01001923","10+","Ratio",0
"2013","S01001923","10+","Ratio",0
"2006","S01001923","10+","Ratio",0
"2009","S01001923","1-3","Ratio","21.65"
"2013","S01001923","1-3","Ratio","13.14"
"2012","S01001923","1-3","Ratio","13.14"
"2007","S01001923","1-3","Ratio","18.07"
"2006","S01001923","1-3","Ratio","18.24"
"2011","S01001923","1-3","Ratio","13.14"
"2010","S01001923","1-3","Ratio","21.65"
"2008","S01001923","1-3","Ratio","21.65"
"2007","S01001923","4-6","Ratio","81.93"
"2010","S01001923","4-6","Ratio","78.35"
"2008","S01001923","4-6","Ratio","78.35"
"2011","S01001923","4-6","Ratio","86.86"
"2006","S01001923","4-6","Ratio","81.76"
"2012","S01001923","4-6","Ratio","86.86"
"2009","S01001923","4-6","Ratio","78.35"
"2013","S01001923","4-6","Ratio","86.86"
"2008","S01001923","7-9","Ratio",0
"2007","S01001923","7-9","Ratio",0
"2009","S01001923","7-9","Ratio",0
"2013","S01001923","7-9","Ratio",0
"2010","S01001923","7-9","Ratio",0
"2011","S01001923","7-9","Ratio",0
"2006","S01001923","7-9","Ratio",0
"2012","S01001923","7-9","Ratio",0
"2006","S01001923","Unknown","Ratio",0
"2010","S01001923","Unknown","Ratio",0
"2012","S01001923","Unknown","Ratio",0
"2007","S01001923","Unknown","Ratio",0
"2008","S01001923","Unknown","Ratio",0
"2011","S01001923","Unknown","Ratio",0
"2009","S01001923","Unknown","Ratio",0
"2013","S01001923","Unknown","Ratio",0
"2007","S01001924","Median","Count",4
"2008","S01001924","5.0","Count",114
"2013","S01001924","5.0","Count",111
"2006","S01001924","5.0","Count",114
"2011","S01001924","5.0","Count",111
"2009","S01001924","5.0","Count",115
"2012","S01001924","5.0","Count",111
"2010","S01001924","5.0","Count",114
"2007","S01001924","5.0","Count",114
"2010","S01001924","6.0","Count",22
"2013","S01001924","6.0","Count",27
"2006","S01001924","6.0","Count",22
"2009","S01001924","6.0","Count",22
"2008","S01001924","6.0","Count",22
"2011","S01001924","6.0","Count",26
"2007","S01001924","6.0","Count",22
"2012","S01001924","6.0","Count",27
"2009","S01001924","7.0","Count",12
"2007","S01001924","7.0","Count",12
"2010","S01001924","7.0","Count",13
"2011","S01001924","7.0","Count",13
"2006","S01001924","7.0","Count",12
"2013","S01001924","7.0","Count",13
"2012","S01001924","7.0","Count",13
"2008","S01001924","7.0","Count",12
"2013","S01001924","8.0","Count",3
"2011","S01001924","8.0","Count",3
"2008","S01001924","8.0","Count",3
"2012","S01001924","8.0","Count",3
"2006","S01001924","8.0","Count",3
"2009","S01001924","8.0","Count",3
"2007","S01001924","8.0","Count",3
"2010","S01001924","8.0","Count",3
"2011","S01001924","9.0","Count",0
"2006","S01001924","9.0","Count",0
"2010","S01001924","9.0","Count",0
"2009","S01001924","9.0","Count",0
"2007","S01001924","9.0","Count",0
"2008","S01001924","9.0","Count",0
"2013","S01001924","9.0","Count",0
"2012","S01001924","9.0","Count",0
"2006","S01001924","Unknown","Count",0
"2007","S01001924","Unknown","Count",0
"2008","S01001924","Unknown","Count",0
"2009","S01001924","Unknown","Count",0
"2010","S01001924","Unknown","Count",0
"2011","S01001924","Unknown","Count",0
"2012","S01001924","Unknown","Count",0
"2013","S01001924","Unknown","Count",0
"2008","S01001924","1.0","Count",0
"2006","S01001924","1.0","Count",0
"2007","S01001924","1.0","Count",0
"2012","S01001924","1.0","Count",0
"2013","S01001924","1.0","Count",0
"2010","S01001924","1.0","Count",0
"2009","S01001924","1.0","Count",0
"2011","S01001924","1.0","Count",0
"2012","S01001924","2.0","Count",15
"2006","S01001924","2.0","Count",15
"2009","S01001924","2.0","Count",15
"2011","S01001924","2.0","Count",15
"2008","S01001924","2.0","Count",15
"2013","S01001924","2.0","Count",15
"2007","S01001924","2.0","Count",15
"2010","S01001924","2.0","Count",15
"2012","S01001924","3.0","Count",78
"2013","S01001924","3.0","Count",78
"2010","S01001924","3.0","Count",78
"2007","S01001924","3.0","Count",78
"2008","S01001924","3.0","Count",78
"2011","S01001924","3.0","Count",78
"2006","S01001924","3.0","Count",78
"2009","S01001924","3.0","Count",78
"2011","S01001924","4.0","Count",106
"2006","S01001924","4.0","Count",107
"2013","S01001924","4.0","Count",105
"2012","S01001924","4.0","Count",105
"2010","S01001924","4.0","Count",106
"2009","S01001924","4.0","Count",106
"2007","S01001924","4.0","Count",107
"2008","S01001924","4.0","Count",107
"2011","S01001924","10+","Ratio",0
"2012","S01001924","10+","Ratio",0
"2008","S01001924","10+","Ratio",0
"2009","S01001924","10+","Ratio",0
"2007","S01001924","10+","Ratio",0
"2010","S01001924","10+","Ratio",0
"2013","S01001924","10+","Ratio",0
"2006","S01001924","10+","Ratio",0
"2009","S01001924","1-3","Ratio","26.5"
"2013","S01001924","1-3","Ratio","26.42"
"2012","S01001924","1-3","Ratio","26.42"
"2007","S01001924","1-3","Ratio","26.5"
"2006","S01001924","1-3","Ratio","26.5"
"2011","S01001924","1-3","Ratio","26.42"
"2010","S01001924","1-3","Ratio","26.5"
"2008","S01001924","1-3","Ratio","26.5"
"2007","S01001924","4-6","Ratio","69.23"
"2010","S01001924","4-6","Ratio","68.95"
"2008","S01001924","4-6","Ratio","69.23"
"2011","S01001924","4-6","Ratio","69.03"
"2006","S01001924","4-6","Ratio","69.23"
"2012","S01001924","4-6","Ratio","69.03"
"2009","S01001924","4-6","Ratio","69.23"
"2013","S01001924","4-6","Ratio","69.03"
"2008","S01001924","7-9","Ratio","4.27"
"2007","S01001924","7-9","Ratio","4.27"
"2009","S01001924","7-9","Ratio","4.27"
"2013","S01001924","7-9","Ratio","4.55"
"2010","S01001924","7-9","Ratio","4.56"
"2011","S01001924","7-9","Ratio","4.55"
"2006","S01001924","7-9","Ratio","4.27"
"2012","S01001924","7-9","Ratio","4.55"
"2006","S01001924","Unknown","Ratio",0
"2010","S01001924","Unknown","Ratio",0
"2012","S01001924","Unknown","Ratio",0
"2007","S01001924","Unknown","Ratio",0
"2008","S01001924","Unknown","Ratio",0
"2011","S01001924","Unknown","Ratio",0
"2009","S01001924","Unknown","Ratio",0
"2013","S01001924","Unknown","Ratio",0
"2007","S01001925","Median","Count",6
"2008","S01001925","5.0","Count",36
"2013","S01001925","5.0","Count",35
"2006","S01001925","5.0","Count",37
"2011","S01001925","5.0","Count",36
"2009","S01001925","5.0","Count",36
"2012","S01001925","5.0","Count",35
"2010","S01001925","5.0","Count",36
"2007","S01001925","5.0","Count",37
"2010","S01001925","6.0","Count",46
"2013","S01001925","6.0","Count",46
"2006","S01001925","6.0","Count",45
"2009","S01001925","6.0","Count",47
"2008","S01001925","6.0","Count",47
"2011","S01001925","6.0","Count",46
"2007","S01001925","6.0","Count",46
"2012","S01001925","6.0","Count",46
"2009","S01001925","7.0","Count",42
"2007","S01001925","7.0","Count",41
"2010","S01001925","7.0","Count",43
"2011","S01001925","7.0","Count",43
"2006","S01001925","7.0","Count",41
"2013","S01001925","7.0","Count",43
"2012","S01001925","7.0","Count",43
"2008","S01001925","7.0","Count",42
"2013","S01001925","8.0","Count",73
"2011","S01001925","8.0","Count",73
"2008","S01001925","8.0","Count",73
"2012","S01001925","8.0","Count",73
"2006","S01001925","8.0","Count",71
"2009","S01001925","8.0","Count",73
"2007","S01001925","8.0","Count",71
"2010","S01001925","8.0","Count",73
"2011","S01001925","9.0","Count",26
"2006","S01001925","9.0","Count",24
"2010","S01001925","9.0","Count",26
"2009","S01001925","9.0","Count",24
"2007","S01001925","9.0","Count",24
"2008","S01001925","9.0","Count",24
"2013","S01001925","9.0","Count",27
"2012","S01001925","9.0","Count",27
"2006","S01001925","Unknown","Count",0
"2007","S01001925","Unknown","Count",0
"2008","S01001925","Unknown","Count",0
"2009","S01001925","Unknown","Count",0
"2010","S01001925","Unknown","Count",0
"2011","S01001925","Unknown","Count",0
"2012","S01001925","Unknown","Count",0
"2013","S01001925","Unknown","Count",0
"2008","S01001925","1.0","Count",0
"2006","S01001925","1.0","Count",0
"2007","S01001925","1.0","Count",0
"2012","S01001925","1.0","Count",0
"2013","S01001925","1.0","Count",0
"2010","S01001925","1.0","Count",0
"2009","S01001925","1.0","Count",0
"2011","S01001925","1.0","Count",0
"2012","S01001925","2.0","Count",0
"2006","S01001925","2.0","Count",0
"2009","S01001925","2.0","Count",0
"2011","S01001925","2.0","Count",0
"2008","S01001925","2.0","Count",0
"2013","S01001925","2.0","Count",0
"2007","S01001925","2.0","Count",0
"2010","S01001925","2.0","Count",0
"2012","S01001925","3.0","Count",28
"2013","S01001925","3.0","Count",28
"2010","S01001925","3.0","Count",29
"2007","S01001925","3.0","Count",32
"2008","S01001925","3.0","Count",32
"2011","S01001925","3.0","Count",28
"2006","S01001925","3.0","Count",33
"2009","S01001925","3.0","Count",32
"2011","S01001925","4.0","Count",54
"2006","S01001925","4.0","Count",56
"2013","S01001925","4.0","Count",54
"2012","S01001925","4.0","Count",54
"2010","S01001925","4.0","Count",54
"2009","S01001925","4.0","Count",54
"2007","S01001925","4.0","Count",54
"2008","S01001925","4.0","Count",53
"2011","S01001925","10+","Ratio","5.56"
"2012","S01001925","10+","Ratio","5.56"
"2008","S01001925","10+","Ratio","5.54"
"2009","S01001925","10+","Ratio","5.52"
"2007","S01001925","10+","Ratio","5.57"
"2010","S01001925","10+","Ratio","5.54"
"2013","S01001925","10+","Ratio","5.85"
"2006","S01001925","10+","Ratio","5.54"
"2009","S01001925","1-3","Ratio","9.82"
"2013","S01001925","1-3","Ratio","8.62"
"2012","S01001925","1-3","Ratio","8.64"
"2007","S01001925","1-3","Ratio","9.91"
"2006","S01001925","1-3","Ratio","10.15"
"2011","S01001925","1-3","Ratio","8.64"
"2010","S01001925","1-3","Ratio","8.92"
"2008","S01001925","1-3","Ratio","9.85"
"2007","S01001925","4-6","Ratio","42.41"
"2010","S01001925","4-6","Ratio","41.85"
"2008","S01001925","4-6","Ratio","41.85"
"2011","S01001925","4-6","Ratio","41.98"
"2006","S01001925","4-6","Ratio","42.46"
"2012","S01001925","4-6","Ratio","41.67"
"2009","S01001925","4-6","Ratio","42.02"
"2013","S01001925","4-6","Ratio","41.54"
"2008","S01001925","7-9","Ratio","42.77"
"2007","S01001925","7-9","Ratio","42.11"
"2009","S01001925","7-9","Ratio","42.64"
"2013","S01001925","7-9","Ratio",44
"2010","S01001925","7-9","Ratio","43.69"
"2011","S01001925","7-9","Ratio","43.83"
"2006","S01001925","7-9","Ratio","41.85"
"2012","S01001925","7-9","Ratio","44.14"
"2006","S01001925","Unknown","Ratio",0
"2010","S01001925","Unknown","Ratio",0
"2012","S01001925","Unknown","Ratio",0
"2007","S01001925","Unknown","Ratio",0
"2008","S01001925","Unknown","Ratio",0
"2011","S01001925","Unknown","Ratio",0
"2009","S01001925","Unknown","Ratio",0
"2013","S01001925","Unknown","Ratio",0
"2007","S01001926","Median","Count",4
"2008","S01001926","5.0","Count",61
"2013","S01001926","5.0","Count",16
"2006","S01001926","5.0","Count",61
"2011","S01001926","5.0","Count",61
"2009","S01001926","5.0","Count",61
"2012","S01001926","5.0","Count",16
"2010","S01001926","5.0","Count",61
"2007","S01001926","5.0","Count",61
"2010","S01001926","6.0","Count",6
"2013","S01001926","6.0","Count",2
"2006","S01001926","6.0","Count",5
"2009","S01001926","6.0","Count",6
"2008","S01001926","6.0","Count",6
"2011","S01001926","6.0","Count",6
"2007","S01001926","6.0","Count",5
"2012","S01001926","6.0","Count",2
"2009","S01001926","7.0","Count",0
"2007","S01001926","7.0","Count",0
"2010","S01001926","7.0","Count",0
"2011","S01001926","7.0","Count",0
"2006","S01001926","7.0","Count",0
"2013","S01001926","7.0","Count",0
"2012","S01001926","7.0","Count",0
"2008","S01001926","7.0","Count",0
"2013","S01001926","8.0","Count",0
"2011","S01001926","8.0","Count",0
"2008","S01001926","8.0","Count",0
"2012","S01001926","8.0","Count",0
"2006","S01001926","8.0","Count",0
"2009","S01001926","8.0","Count",0
"2007","S01001926","8.0","Count",0
"2010","S01001926","8.0","Count",0
"2011","S01001926","9.0","Count",0
"2006","S01001926","9.0","Count",0
"2010","S01001926","9.0","Count",0
"2009","S01001926","9.0","Count",0
"2007","S01001926","9.0","Count",0
"2008","S01001926","9.0","Count",0
"2013","S01001926","9.0","Count",0
"2012","S01001926","9.0","Count",0
"2006","S01001926","Unknown","Count",0
"2007","S01001926","Unknown","Count",0
"2008","S01001926","Unknown","Count",0
"2009","S01001926","Unknown","Count",0
"2010","S01001926","Unknown","Count",0
"2011","S01001926","Unknown","Count",0
"2012","S01001926","Unknown","Count",0
"2013","S01001926","Unknown","Count",0
"2008","S01001926","1.0","Count",0
"2006","S01001926","1.0","Count",0
"2007","S01001926","1.0","Count",0
"2012","S01001926","1.0","Count",0
"2013","S01001926","1.0","Count",0
"2010","S01001926","1.0","Count",0
"2009","S01001926","1.0","Count",0
"2011","S01001926","1.0","Count",0
"2012","S01001926","2.0","Count",0
"2006","S01001926","2.0","Count",51
"2009","S01001926","2.0","Count",51
"2011","S01001926","2.0","Count",21
"2008","S01001926","2.0","Count",51
"2013","S01001926","2.0","Count",0
"2007","S01001926","2.0","Count",51
"2010","S01001926","2.0","Count",51
"2012","S01001926","3.0","Count",9
"2013","S01001926","3.0","Count",9
"2010","S01001926","3.0","Count",11
"2007","S01001926","3.0","Count",11
"2008","S01001926","3.0","Count",11
"2011","S01001926","3.0","Count",9
"2006","S01001926","3.0","Count",10
"2009","S01001926","3.0","Count",11
"2011","S01001926","4.0","Count",174
"2006","S01001926","4.0","Count",239
"2013","S01001926","4.0","Count",162
"2012","S01001926","4.0","Count",162
"2010","S01001926","4.0","Count",238
"2009","S01001926","4.0","Count",238
"2007","S01001926","4.0","Count",239
"2008","S01001926","4.0","Count",238
"2011","S01001926","10+","Ratio",0
"2012","S01001926","10+","Ratio",0
"2008","S01001926","10+","Ratio",0
"2009","S01001926","10+","Ratio",0
"2007","S01001926","10+","Ratio",0
"2010","S01001926","10+","Ratio",0
"2013","S01001926","10+","Ratio",0
"2006","S01001926","10+","Ratio",0
"2009","S01001926","1-3","Ratio","16.89"
"2013","S01001926","1-3","Ratio","4.76"
"2012","S01001926","1-3","Ratio","4.76"
"2007","S01001926","1-3","Ratio","16.89"
"2006","S01001926","1-3","Ratio","16.67"
"2011","S01001926","1-3","Ratio","11.07"
"2010","S01001926","1-3","Ratio","16.89"
"2008","S01001926","1-3","Ratio","16.89"
"2007","S01001926","4-6","Ratio","83.11"
"2010","S01001926","4-6","Ratio","83.11"
"2008","S01001926","4-6","Ratio","83.11"
"2011","S01001926","4-6","Ratio","88.93"
"2006","S01001926","4-6","Ratio","83.33"
"2012","S01001926","4-6","Ratio","95.24"
"2009","S01001926","4-6","Ratio","83.11"
"2013","S01001926","4-6","Ratio","95.24"
"2008","S01001926","7-9","Ratio",0
"2007","S01001926","7-9","Ratio",0
"2009","S01001926","7-9","Ratio",0
"2013","S01001926","7-9","Ratio",0
"2010","S01001926","7-9","Ratio",0
"2011","S01001926","7-9","Ratio",0
"2006","S01001926","7-9","Ratio",0
"2012","S01001926","7-9","Ratio",0
"2006","S01001926","Unknown","Ratio",0
"2010","S01001926","Unknown","Ratio",0
"2012","S01001926","Unknown","Ratio",0
"2007","S01001926","Unknown","Ratio",0
"2008","S01001926","Unknown","Ratio",0
"2011","S01001926","Unknown","Ratio",0
"2009","S01001926","Unknown","Ratio",0
"2013","S01001926","Unknown","Ratio",0
"2007","S01001927","Median","Count",5
"2008","S01001927","5.0","Count",119
"2013","S01001927","5.0","Count",119
"2006","S01001927","5.0","Count",112
"2011","S01001927","5.0","Count",119
"2009","S01001927","5.0","Count",119
"2012","S01001927","5.0","Count",119
"2010","S01001927","5.0","Count",119
"2007","S01001927","5.0","Count",112
"2010","S01001927","6.0","Count",42
"2013","S01001927","6.0","Count",43
"2006","S01001927","6.0","Count",39
"2009","S01001927","6.0","Count",40
"2008","S01001927","6.0","Count",40
"2011","S01001927","6.0","Count",43
"2007","S01001927","6.0","Count",39
"2012","S01001927","6.0","Count",43
"2009","S01001927","7.0","Count",57
"2007","S01001927","7.0","Count",58
"2010","S01001927","7.0","Count",57
"2011","S01001927","7.0","Count",57
"2006","S01001927","7.0","Count",58
"2013","S01001927","7.0","Count",57
"2012","S01001927","7.0","Count",57
"2008","S01001927","7.0","Count",58
"2013","S01001927","8.0","Count",11
"2011","S01001927","8.0","Count",12
"2008","S01001927","8.0","Count",11
"2012","S01001927","8.0","Count",11
"2006","S01001927","8.0","Count",11
"2009","S01001927","8.0","Count",12
"2007","S01001927","8.0","Count",11
"2010","S01001927","8.0","Count",12
"2011","S01001927","9.0","Count",4
"2006","S01001927","9.0","Count",4
"2010","S01001927","9.0","Count",4
"2009","S01001927","9.0","Count",4
"2007","S01001927","9.0","Count",4
"2008","S01001927","9.0","Count",4
"2013","S01001927","9.0","Count",5
"2012","S01001927","9.0","Count",5
"2006","S01001927","Unknown","Count",0
"2007","S01001927","Unknown","Count",0
"2008","S01001927","Unknown","Count",0
"2009","S01001927","Unknown","Count",0
"2010","S01001927","Unknown","Count",0
"2011","S01001927","Unknown","Count",0
"2012","S01001927","Unknown","Count",0
"2013","S01001927","Unknown","Count",0
"2008","S01001927","1.0","Count",0
"2006","S01001927","1.0","Count",0
"2007","S01001927","1.0","Count",0
"2012","S01001927","1.0","Count",0
"2013","S01001927","1.0","Count",0
"2010","S01001927","1.0","Count",0
"2009","S01001927","1.0","Count",0
"2011","S01001927","1.0","Count",0
"2012","S01001927","2.0","Count",34
"2006","S01001927","2.0","Count",34
"2009","S01001927","2.0","Count",34
"2011","S01001927","2.0","Count",34
"2008","S01001927","2.0","Count",34
"2013","S01001927","2.0","Count",34
"2007","S01001927","2.0","Count",34
"2010","S01001927","2.0","Count",34
"2012","S01001927","3.0","Count",58
"2013","S01001927","3.0","Count",58
"2010","S01001927","3.0","Count",59
"2007","S01001927","3.0","Count",59
"2008","S01001927","3.0","Count",59
"2011","S01001927","3.0","Count",58
"2006","S01001927","3.0","Count",59
"2009","S01001927","3.0","Count",59
"2011","S01001927","4.0","Count",86
"2006","S01001927","4.0","Count",87
"2013","S01001927","4.0","Count",85
"2012","S01001927","4.0","Count",85
"2010","S01001927","4.0","Count",87
"2009","S01001927","4.0","Count",87
"2007","S01001927","4.0","Count",87
"2008","S01001927","4.0","Count",87
"2011","S01001927","10+","Ratio","2.13"
"2012","S01001927","10+","Ratio","2.14"
"2008","S01001927","10+","Ratio","2.37"
"2009","S01001927","10+","Ratio","2.37"
"2007","S01001927","10+","Ratio","2.18"
"2010","S01001927","10+","Ratio","2.13"
"2013","S01001927","10+","Ratio","2.14"
"2006","S01001927","10+","Ratio","2.18"
"2009","S01001927","1-3","Ratio","22.04"
"2013","S01001927","1-3","Ratio","21.85"
"2012","S01001927","1-3","Ratio","21.85"
"2007","S01001927","1-3","Ratio","22.52"
"2006","S01001927","1-3","Ratio","22.52"
"2011","S01001927","1-3","Ratio","21.8"
"2010","S01001927","1-3","Ratio","21.99"
"2008","S01001927","1-3","Ratio","22.04"
"2007","S01001927","4-6","Ratio","57.63"
"2010","S01001927","4-6","Ratio","58.63"
"2008","S01001927","4-6","Ratio","58.29"
"2011","S01001927","4-6","Ratio","58.77"
"2006","S01001927","4-6","Ratio","57.63"
"2012","S01001927","4-6","Ratio","58.67"
"2009","S01001927","4-6","Ratio","58.29"
"2013","S01001927","4-6","Ratio","58.67"
"2008","S01001927","7-9","Ratio","17.3"
"2007","S01001927","7-9","Ratio","17.68"
"2009","S01001927","7-9","Ratio","17.3"
"2013","S01001927","7-9","Ratio","17.34"
